"Observation station","Year","Month","Day","Time [Local time]","Precipitation amount [mm]","Snow depth [cm]","Average temperature [°C]","Minimum temperature [°C]"
"Vantaa Helsinki-Vantaa airport","2010","4","13","03:00","-1","0","6.5","0"
"Vantaa Helsinki-Vantaa airport","2010","4","14","03:00","-1","0","6.4","2.4"
"Vantaa Helsinki-Vantaa airport","2010","4","15","03:00","0.9","0","5.1","-1.9"
"Vantaa Helsinki-Vantaa airport","2010","4","16","03:00","7.4","0","3.7","2.5"
"Vantaa Helsinki-Vantaa airport","2010","4","17","03:00","11.6","0","3.7","-1.9"
"Vantaa Helsinki-Vantaa airport","2010","4","18","03:00","-1","0","3.7","1.3"
"Vantaa Helsinki-Vantaa airport","2010","4","19","03:00","0","0","3.1","-2.5"
"Vantaa Helsinki-Vantaa airport","2010","4","20","03:00","0","0","3.7","-2.7"
"Vantaa Helsinki-Vantaa airport","2010","4","21","03:00","0.5","0","5.3","-2.5"
"Vantaa Helsinki-Vantaa airport","2010","4","22","03:00","6.9","0","3.1","1.9"
"Vantaa Helsinki-Vantaa airport","2010","4","23","03:00","2","0","3","0.2"
"Vantaa Helsinki-Vantaa airport","2010","4","24","03:00","0","0","3","-1.4"
"Vantaa Helsinki-Vantaa airport","2010","4","25","03:00","0","0","6.2","-1"
"Vantaa Helsinki-Vantaa airport","2010","4","26","03:00","-1","-1","6.9","-0.7"
"Vantaa Helsinki-Vantaa airport","2010","4","27","03:00","0","-1","9.9","5.1"
"Vantaa Helsinki-Vantaa airport","2010","4","28","03:00","3.4","-1","5.9","0.2"
"Vantaa Helsinki-Vantaa airport","2010","4","29","03:00","0.8","-1","4.6","1"
"Vantaa Helsinki-Vantaa airport","2010","4","30","03:00","0.6","-1","8.8","4.8"
"Vantaa Helsinki-Vantaa airport","2010","5","1","03:00","1.8","-1","8.6","6.7"
"Vantaa Helsinki-Vantaa airport","2010","5","2","03:00","-1","-1","6.4","5.2"
"Vantaa Helsinki-Vantaa airport","2010","5","3","03:00","1.9","-1","6.4","-0.5"
"Vantaa Helsinki-Vantaa airport","2010","5","4","03:00","7.1","-1","3.9","1.2"
"Vantaa Helsinki-Vantaa airport","2010","5","5","03:00","0.1","-1","5.1","1.2"
"Vantaa Helsinki-Vantaa airport","2010","5","6","03:00","-1","-1","6","-0.8"
"Vantaa Helsinki-Vantaa airport","2010","5","7","03:00","20.7","-1","4.8","3"
"Vantaa Helsinki-Vantaa airport","2010","5","8","03:00","0.1","-1","6.1","3.4"
"Vantaa Helsinki-Vantaa airport","2010","5","9","03:00","0.1","-1","6.1","4.9"
"Vantaa Helsinki-Vantaa airport","2010","5","10","03:00","0","-1","5.1","4"
"Vantaa Helsinki-Vantaa airport","2010","5","11","03:00","-1","-1","9","3.2"
"Vantaa Helsinki-Vantaa airport","2010","5","12","03:00","0.3","-1","12.8","4.5"
"Vantaa Helsinki-Vantaa airport","2010","5","13","03:00","0.2","-1","15.8","9.9"
"Vantaa Helsinki-Vantaa airport","2010","5","14","03:00","-1","-1","19.8","12.5"
"Vantaa Helsinki-Vantaa airport","2010","5","15","03:00","0.9","-1","19.8","13.9"
"Vantaa Helsinki-Vantaa airport","2010","5","16","03:00","4","-1","19.9","14.4"
"Vantaa Helsinki-Vantaa airport","2010","5","17","03:00","0","-1","19.2","14.7"
"Vantaa Helsinki-Vantaa airport","2010","5","18","03:00","0.1","-1","18.9","16"
"Vantaa Helsinki-Vantaa airport","2010","5","19","03:00","-1","-1","18.6","15.2"
"Vantaa Helsinki-Vantaa airport","2010","5","20","03:00","-1","-1","19","11.4"
"Vantaa Helsinki-Vantaa airport","2010","5","21","03:00","-1","-1","19.8","10.3"
"Vantaa Helsinki-Vantaa airport","2010","5","22","03:00","24.6","-1","17.6","14.9"
"Vantaa Helsinki-Vantaa airport","2010","5","23","03:00","7.4","-1","13","11.5"
"Vantaa Helsinki-Vantaa airport","2010","5","24","03:00","5","-1","10.1","8.9"
"Vantaa Helsinki-Vantaa airport","2010","5","25","03:00","-1","-1","11.2","6.3"
"Vantaa Helsinki-Vantaa airport","2010","5","26","03:00","3.9","-1","11.4","5.7"
"Vantaa Helsinki-Vantaa airport","2010","5","27","03:00","0.5","-1","10.4","9.5"
"Vantaa Helsinki-Vantaa airport","2010","5","28","03:00","0.9","-1","11","8.8"
"Vantaa Helsinki-Vantaa airport","2010","5","29","03:00","1.7","-1","9.6","5.3"
"Vantaa Helsinki-Vantaa airport","2010","5","30","03:00","0.1","-1","11.3","7.9"
"Vantaa Helsinki-Vantaa airport","2010","5","31","03:00","-1","-1","12.9","6"
"Vantaa Helsinki-Vantaa airport","2010","6","1","03:00","-1","-1","16.8","8.3"
"Vantaa Helsinki-Vantaa airport","2010","6","2","03:00","-1","-1","16.1","12.8"
"Vantaa Helsinki-Vantaa airport","2010","6","3","03:00","-1","-1","15.3","10"
"Vantaa Helsinki-Vantaa airport","2010","6","4","03:00","-1","-1","13.7","9.1"
"Vantaa Helsinki-Vantaa airport","2010","6","5","03:00","-1","-1","11.3","6.4"
"Vantaa Helsinki-Vantaa airport","2010","6","6","03:00","-1","-1","11.5","3.2"
"Vantaa Helsinki-Vantaa airport","2010","6","7","03:00","-1","-1","13.9","8.4"
"Vantaa Helsinki-Vantaa airport","2010","6","8","03:00","-1","-1","13.8","10.7"
"Vantaa Helsinki-Vantaa airport","2010","6","9","03:00","-1","-1","14.2","7.8"
"Vantaa Helsinki-Vantaa airport","2010","6","10","03:00","-1","-1","16.6","10.3"
"Vantaa Helsinki-Vantaa airport","2010","6","11","03:00","7.9","-1","14.1","9.8"
"Vantaa Helsinki-Vantaa airport","2010","6","12","03:00","8.5","-1","12.6","10.9"
"Vantaa Helsinki-Vantaa airport","2010","6","13","03:00","0.9","-1","12.5","9.9"
"Vantaa Helsinki-Vantaa airport","2010","6","14","03:00","0.4","-1","13.1","10.9"
"Vantaa Helsinki-Vantaa airport","2010","6","15","03:00","0.9","-1","12.6","10"
"Vantaa Helsinki-Vantaa airport","2010","6","16","03:00","-1","-1","13.5","9.5"
"Vantaa Helsinki-Vantaa airport","2010","6","17","03:00","0.1","-1","14.3","8"
"Vantaa Helsinki-Vantaa airport","2010","6","18","03:00","0.2","-1","14.8","10.3"
"Vantaa Helsinki-Vantaa airport","2010","6","19","03:00","6.1","-1","15.8","13.1"
"Vantaa Helsinki-Vantaa airport","2010","6","20","03:00","0.2","-1","13.8","10.6"
"Vantaa Helsinki-Vantaa airport","2010","6","21","03:00","0.3","-1","13.3","10.7"
"Vantaa Helsinki-Vantaa airport","2010","6","22","03:00","-1","-1","14.9","9.4"
"Vantaa Helsinki-Vantaa airport","2010","6","23","03:00","-1","-1","17.6","11.2"
"Vantaa Helsinki-Vantaa airport","2010","6","24","03:00","-1","-1","18.4","11.3"
"Vantaa Helsinki-Vantaa airport","2010","6","25","03:00","5.7","-1","16.2","12.3"
"Vantaa Helsinki-Vantaa airport","2010","6","26","03:00","0.1","-1","16.9","13.1"
"Vantaa Helsinki-Vantaa airport","2010","6","27","03:00","-1","-1","15.5","10.7"
"Vantaa Helsinki-Vantaa airport","2010","6","28","03:00","-1","-1","18.8","9.2"
"Vantaa Helsinki-Vantaa airport","2010","6","29","03:00","-1","-1","19.1","11.4"
"Vantaa Helsinki-Vantaa airport","2010","6","30","03:00","-1","-1","20.6","11.8"
"Vantaa Helsinki-Vantaa airport","2010","7","1","03:00","0.1","-1","19","15.9"
"Vantaa Helsinki-Vantaa airport","2010","7","2","03:00","-1","-1","18.5","14.1"
"Vantaa Helsinki-Vantaa airport","2010","7","3","03:00","-1","-1","19.8","12.4"
"Vantaa Helsinki-Vantaa airport","2010","7","4","03:00","-1","-1","20.9","13.4"
"Vantaa Helsinki-Vantaa airport","2010","7","5","03:00","0.1","-1","21.3","12.4"
"Vantaa Helsinki-Vantaa airport","2010","7","6","03:00","2","-1","21.1","17.3"
"Vantaa Helsinki-Vantaa airport","2010","7","7","03:00","0","-1","22.4","18.1"
"Vantaa Helsinki-Vantaa airport","2010","7","8","03:00","2.5","-1","23","19.3"
"Vantaa Helsinki-Vantaa airport","2010","7","9","03:00","-1","-1","22.2","15.4"
"Vantaa Helsinki-Vantaa airport","2010","7","10","03:00","0","-1","21.8","14.6"
"Vantaa Helsinki-Vantaa airport","2010","7","11","03:00","0.1","-1","24.9","19.2"
"Vantaa Helsinki-Vantaa airport","2010","7","12","03:00","-1","-1","25.9","18.8"
"Vantaa Helsinki-Vantaa airport","2010","7","13","03:00","-1","-1","26.6","18.5"
"Vantaa Helsinki-Vantaa airport","2010","7","14","03:00","-1","-1","26.6","21.2"
"Vantaa Helsinki-Vantaa airport","2010","7","15","03:00","5","-1","23.8","20.4"
"Vantaa Helsinki-Vantaa airport","2010","7","16","03:00","-1","-1","24.3","20.6"
"Vantaa Helsinki-Vantaa airport","2010","7","17","03:00","0.1","-1","23.1","15.6"
"Vantaa Helsinki-Vantaa airport","2010","7","18","03:00","2.9","-1","22.5","15.5"
"Vantaa Helsinki-Vantaa airport","2010","7","19","03:00","-1","-1","21.2","17.1"
"Vantaa Helsinki-Vantaa airport","2010","7","20","03:00","-1","-1","21","15.1"
"Vantaa Helsinki-Vantaa airport","2010","7","21","03:00","-1","-1","22.3","17.5"
"Vantaa Helsinki-Vantaa airport","2010","7","22","03:00","-1","-1","24.1","17.3"
"Vantaa Helsinki-Vantaa airport","2010","7","23","03:00","0.9","-1","22","19.9"
"Vantaa Helsinki-Vantaa airport","2010","7","24","03:00","0.3","-1","14.9","13.1"
"Vantaa Helsinki-Vantaa airport","2010","7","25","03:00","0.1","-1","20.7","13.8"
"Vantaa Helsinki-Vantaa airport","2010","7","26","03:00","0.2","-1","25.1","20.2"
"Vantaa Helsinki-Vantaa airport","2010","7","27","03:00","0.1","-1","23.7","19.5"
"Vantaa Helsinki-Vantaa airport","2010","7","28","03:00","0.1","-1","26","18.6"
"Vantaa Helsinki-Vantaa airport","2010","7","29","03:00","0.1","-1","24.8","21.2"
"Vantaa Helsinki-Vantaa airport","2010","7","30","03:00","0.3","-1","21","18.8"
"Vantaa Helsinki-Vantaa airport","2010","7","31","03:00","-1","-1","19.7","17.9"
"Vantaa Helsinki-Vantaa airport","2010","8","1","03:00","-1","-1","19.5","14.1"
"Vantaa Helsinki-Vantaa airport","2010","8","2","03:00","-1","-1","20.9","12.9"
"Vantaa Helsinki-Vantaa airport","2010","8","3","03:00","0.1","-1","21.2","19.9"
"Vantaa Helsinki-Vantaa airport","2010","8","4","03:00","-1","-1","20.9","17.9"
"Vantaa Helsinki-Vantaa airport","2010","8","5","03:00","0.5","-1","17.4","13.4"
"Vantaa Helsinki-Vantaa airport","2010","8","6","03:00","0.1","-1","19.9","12.5"
"Vantaa Helsinki-Vantaa airport","2010","8","7","03:00","0","-1","24.3","17.3"
"Vantaa Helsinki-Vantaa airport","2010","8","8","03:00","12.4","-1","25.4","21.7"
"Vantaa Helsinki-Vantaa airport","2010","8","9","03:00","4.5","-1","20.9","18.1"
"Vantaa Helsinki-Vantaa airport","2010","8","10","03:00","0.1","-1","19.4","17.8"
"Vantaa Helsinki-Vantaa airport","2010","8","11","03:00","-1","-1","19","16.5"
"Vantaa Helsinki-Vantaa airport","2010","8","12","03:00","0","-1","19.6","12"
"Vantaa Helsinki-Vantaa airport","2010","8","13","03:00","0.2","-1","23.6","18.5"
"Vantaa Helsinki-Vantaa airport","2010","8","14","03:00","6.8","-1","21.6","18.6"
"Vantaa Helsinki-Vantaa airport","2010","8","15","03:00","0","-1","22.2","17"
"Vantaa Helsinki-Vantaa airport","2010","8","16","03:00","-1","-1","18.7","13.9"
"Vantaa Helsinki-Vantaa airport","2010","8","17","03:00","1.4","-1","17.7","11.9"
"Vantaa Helsinki-Vantaa airport","2010","8","18","03:00","0.2","-1","17.8","15.5"
"Vantaa Helsinki-Vantaa airport","2010","8","19","03:00","-1","-1","16.5","11.7"
"Vantaa Helsinki-Vantaa airport","2010","8","20","03:00","0","-1","15.2","7.9"
"Vantaa Helsinki-Vantaa airport","2010","8","21","03:00","4.9","-1","16.8","10.2"
"Vantaa Helsinki-Vantaa airport","2010","8","22","03:00","0","-1","18","16.2"
"Vantaa Helsinki-Vantaa airport","2010","8","23","03:00","1.7","-1","16.5","12.9"
"Vantaa Helsinki-Vantaa airport","2010","8","24","03:00","6.1","-1","13.7","9.6"
"Vantaa Helsinki-Vantaa airport","2010","8","25","03:00","11.2","-1","14.1","10.5"
"Vantaa Helsinki-Vantaa airport","2010","8","26","03:00","5.7","-1","12.6","8.6"
"Vantaa Helsinki-Vantaa airport","2010","8","27","03:00","0","-1","11.5","9.3"
"Vantaa Helsinki-Vantaa airport","2010","8","28","03:00","13.3","-1","11","7.1"
"Vantaa Helsinki-Vantaa airport","2010","8","29","03:00","0.2","-1","10.5","9"
"Vantaa Helsinki-Vantaa airport","2010","8","30","03:00","0","-1","11.2","8"
"Vantaa Helsinki-Vantaa airport","2010","8","31","03:00","0.2","-1","10.8","6.1"
"Vantaa Helsinki-Vantaa airport","2010","9","1","03:00","0.1","-1","12.1","6.7"
"Vantaa Helsinki-Vantaa airport","2010","9","2","03:00","3.8","-1","10.6","8"
"Vantaa Helsinki-Vantaa airport","2010","9","3","03:00","1.4","-1","7.6","7.2"
"Vantaa Helsinki-Vantaa airport","2010","9","4","03:00","-1","-1","8.5","6.8"
"Vantaa Helsinki-Vantaa airport","2010","9","5","03:00","0","-1","10.1","5.4"
"Vantaa Helsinki-Vantaa airport","2010","9","6","03:00","-1","-1","13.4","10.2"
"Vantaa Helsinki-Vantaa airport","2010","9","7","03:00","-1","-1","14.7","9.7"
"Vantaa Helsinki-Vantaa airport","2010","9","8","03:00","-1","-1","14.9","11.5"
"Vantaa Helsinki-Vantaa airport","2010","9","9","03:00","-1","-1","15.2","12.8"
"Vantaa Helsinki-Vantaa airport","2010","9","10","03:00","0.3","-1","13.8","8.6"
"Vantaa Helsinki-Vantaa airport","2010","9","11","03:00","0.3","-1","13.4","12"
"Vantaa Helsinki-Vantaa airport","2010","9","12","03:00","0.2","-1","15","13.7"
"Vantaa Helsinki-Vantaa airport","2010","9","13","03:00","-1","-1","16.4","14.2"
"Vantaa Helsinki-Vantaa airport","2010","9","14","03:00","3.9","-1","14","13"
"Vantaa Helsinki-Vantaa airport","2010","9","15","03:00","13.3","-1","12.7","11.5"
"Vantaa Helsinki-Vantaa airport","2010","9","16","03:00","4.9","-1","12.3","7.3"
"Vantaa Helsinki-Vantaa airport","2010","9","17","03:00","4.6","-1","11.7","9.5"
"Vantaa Helsinki-Vantaa airport","2010","9","18","03:00","4.3","-1","11.2","10.2"
"Vantaa Helsinki-Vantaa airport","2010","9","19","03:00","0.7","-1","9.7","4.8"
"Vantaa Helsinki-Vantaa airport","2010","9","20","03:00","1","-1","10.3","5.5"
"Vantaa Helsinki-Vantaa airport","2010","9","21","03:00","15.2","-1","11.3","6.7"
"Vantaa Helsinki-Vantaa airport","2010","9","22","03:00","0.3","-1","10.9","9.6"
"Vantaa Helsinki-Vantaa airport","2010","9","23","03:00","-1","-1","10.4","3.8"
"Vantaa Helsinki-Vantaa airport","2010","9","24","03:00","-1","-1","13.2","11.3"
"Vantaa Helsinki-Vantaa airport","2010","9","25","03:00","-1","-1","14.3","12.3"
"Vantaa Helsinki-Vantaa airport","2010","9","26","03:00","-1","-1","9.6","7.8"
"Vantaa Helsinki-Vantaa airport","2010","9","27","03:00","-1","-1","8","5.9"
"Vantaa Helsinki-Vantaa airport","2010","9","28","03:00","-1","-1","6.4","3.9"
"Vantaa Helsinki-Vantaa airport","2010","9","29","03:00","-1","-1","6.2","1.4"
"Vantaa Helsinki-Vantaa airport","2010","9","30","03:00","-1","-1","8.5","5.1"
"Vantaa Helsinki-Vantaa airport","2010","10","1","03:00","-1","-1","7.2","0.7"
"Vantaa Helsinki-Vantaa airport","2010","10","2","03:00","-1","-1","5.5","-0.1"
"Vantaa Helsinki-Vantaa airport","2010","10","3","03:00","-1","-1","8.6","4.8"
"Vantaa Helsinki-Vantaa airport","2010","10","4","03:00","-1","-1","9.2","4.6"
"Vantaa Helsinki-Vantaa airport","2010","10","5","03:00","-1","-1","8.9","7.6"
"Vantaa Helsinki-Vantaa airport","2010","10","6","03:00","-1","-1","8.3","4.8"
"Vantaa Helsinki-Vantaa airport","2010","10","7","03:00","-1","-1","8.1","6.4"
"Vantaa Helsinki-Vantaa airport","2010","10","8","03:00","-1","-1","7.9","6.5"
"Vantaa Helsinki-Vantaa airport","2010","10","9","03:00","-1","-1","8.3","5.6"
"Vantaa Helsinki-Vantaa airport","2010","10","10","03:00","0","-1","7.3","4.3"
"Vantaa Helsinki-Vantaa airport","2010","10","11","03:00","1.1","-1","5.8","2.8"
"Vantaa Helsinki-Vantaa airport","2010","10","12","03:00","-1","-1","2.9","1.6"
"Vantaa Helsinki-Vantaa airport","2010","10","13","03:00","0","-1","2.6","-1.2"
"Vantaa Helsinki-Vantaa airport","2010","10","14","03:00","5.1","-1","2.4","-1.7"
"Vantaa Helsinki-Vantaa airport","2010","10","15","03:00","0.1","1","1.2","0.2"
"Vantaa Helsinki-Vantaa airport","2010","10","16","03:00","0.4","-1","1.2","-0.2"
"Vantaa Helsinki-Vantaa airport","2010","10","17","03:00","0","-1","2.5","-1.4"
"Vantaa Helsinki-Vantaa airport","2010","10","18","03:00","0.3","-1","5.5","1.2"
"Vantaa Helsinki-Vantaa airport","2010","10","19","03:00","0.4","-1","5.1","4.1"
"Vantaa Helsinki-Vantaa airport","2010","10","20","03:00","7.3","-1","6.2","4.9"
"Vantaa Helsinki-Vantaa airport","2010","10","21","03:00","0.1","-1","2.5","-0.1"
"Vantaa Helsinki-Vantaa airport","2010","10","22","03:00","0","-1","-1.1","-5.1"
"Vantaa Helsinki-Vantaa airport","2010","10","23","03:00","0.4","-1","2.1","-2.9"
"Vantaa Helsinki-Vantaa airport","2010","10","24","03:00","7.7","-1","4.3","1.1"
"Vantaa Helsinki-Vantaa airport","2010","10","25","03:00","0","-1","3.6","1.7"
"Vantaa Helsinki-Vantaa airport","2010","10","26","03:00","0.3","-1","1.7","-0.2"
